City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,beira,-19.84,34.84,80.01,65.0,20.0,14.99,MZ,1605544431.0
324,marsa matruh,31.35,27.25,68.0,56.0,75.0,10.29,EG,1605544431.0
325,salinopolis,-0.61,-47.36,85.77,64.0,53.0,10.51,BR,1605544431.0
326,huarmey,-10.07,-78.15,70.79,64.0,95.0,12.62,PE,1605544431.0
327,winnemucca,40.97,-117.74,39.2,69.0,1.0,4.7,US,1605544431.0
328,mercedes,-34.65,-59.43,82.99,49.0,7.0,1.99,AR,1605544431.0
329,jinxiang,27.43,120.61,67.14,88.0,73.0,7.2,CN,1605544431.0
330,ushtobe,45.25,77.98,24.49,79.0,100.0,12.93,KZ,1605544431.0
331,puerto lleras,3.02,-73.4,83.75,79.0,94.0,2.62,CO,1605544431.0
332,boa vista,2.82,-60.67,91.4,52.0,75.0,11.41,BR,1605544183.0
333,srednekolymsk,67.45,153.68,-10.82,90.0,100.0,7.36,RU,1605544431.0
334,oussouye,12.48,-16.55,95.0,26.0,0.0,9.17,SN,1605544431.0
335,reggio di calabria,38.11,15.66,68.0,82.0,0.0,1.12,IT,1605544432.0
336,san carlos de bariloche,-41.15,-71.31,70.0,25.0,0.0,13.87,AR,1605544260.0
337,udala,43.08,-2.51,54.0,83.0,98.0,2.01,ES,1605544432.0
338,oriximina,-1.77,-55.87,96.42,40.0,46.0,5.26,BR,1605544432.0
339,youkounkoun,12.53,-13.13,97.99,16.0,0.0,5.84,GN,1605544432.0
340,boguchany,58.38,97.45,12.09,93.0,89.0,2.26,RU,1605544432.0
341,oktyabrskoye,43.06,44.74,37.4,93.0,90.0,4.47,RU,1605544432.0
342,suhbaatar,50.23,106.21,24.48,93.0,98.0,4.61,MN,1605544432.0
343,ust-kuyga,70.02,135.6,-17.68,87.0,99.0,8.08,RU,1605544432.0
344,benavente,42.0,-5.68,53.6,66.0,20.0,1.28,ES,1605544432.0
345,askarovo,53.34,58.51,12.2,61.0,69.0,6.71,RU,1605544432.0
346,shagonar,51.53,92.8,24.84,95.0,95.0,1.97,RU,1605544432.0
347,de pere,44.45,-88.06,34.0,76.0,1.0,11.41,US,1605544432.0
348,burns lake,54.23,-125.75,6.8,84.0,63.0,1.16,CA,1605544202.0
349,waitati,-45.75,170.57,57.0,86.0,100.0,13.0,NZ,1605544432.0
350,tirat karmel,32.76,34.97,66.2,82.0,20.0,2.24,IL,1605544432.0
351,ouahigouya,13.58,-2.42,91.8,16.0,5.0,8.32,BF,1605544432.0
352,taoudenni,22.68,-3.98,84.0,16.0,45.0,15.26,ML,1605544432.0
353,bur gabo,,,,,,,,
